id,battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range,price_range_2
1,1043,1,1.8,1,2.70805020110221,0,5,0.1,193,3,16,55.6645870255677,1412,3476,12,2.0794415416798357,2,0,1,0,3,very high cost
2,841,1,0.5,1,1.6094379124341003,1,61,0.8,191,5,12,101.9754580350888,857,3895,6,0.0,7,1,0,0,3,very high cost
3,1807,1,2.8,0,0.6931471805599453,0,27,0.9,186,3,4,129.0293865664329,1366,2396,17,2.3978952727983707,10,0,1,1,2,high cost
4,1546,0,0.5,1,2.9444389791664403,1,25,0.5,96,8,20,64.40404324898418,1752,3893,10,0.0,7,1,1,0,3,very high cost
5,1434,0,1.4,0,2.4849066497880004,1,49,0.5,108,6,18,102.16376602167651,810,1773,15,2.1972245773362196,7,1,0,1,1,medium cost
6,1464,1,2.9,1,1.791759469228055,1,50,0.8,198,8,9,89.7988572768314,939,3506,10,2.0794415416798357,3,1,1,1,3,very high cost
7,1718,0,2.4,0,0.6931471805599453,0,47,1.0,156,2,3,129.5894448155382,1374,3873,14,1.0986122886681098,10,0,0,0,3,very high cost
8,833,0,2.4,1,0.0,0,62,0.8,111,1,2,130.82433774378615,1880,1495,7,1.0986122886681098,18,0,1,1,1,medium cost
9,1111,1,2.9,1,2.302585092994046,1,25,0.6,101,5,19,88.80752994779769,876,3485,11,2.302585092994046,10,1,1,0,3,very high cost
10,1520,0,0.5,0,0.6931471805599453,0,25,0.5,171,3,20,21.37260834487006,1009,651,6,0.0,5,1,0,1,0,low cost
11,1500,0,2.2,0,1.0986122886681098,0,55,0.6,80,7,6,84.59565444887913,1336,3866,13,2.0794415416798357,20,0,1,0,3,very high cost
12,1343,0,2.9,0,1.0986122886681098,1,34,0.8,171,3,6,56.892075099272276,1671,3911,15,2.1972245773362196,8,1,1,1,3,very high cost
13,900,1,1.4,1,0.0,0,30,1.0,87,2,3,107.00320314736186,1893,439,6,1.0986122886681098,20,1,0,0,0,low cost
14,1190,1,2.2,1,1.791759469228055,0,19,0.9,158,5,15,55.80246113449165,1856,992,13,0.0,16,1,1,0,0,low cost
15,630,0,1.8,0,2.1972245773362196,1,51,0.9,193,8,9,130.9509667005039,1323,2751,17,1.9459101490553132,3,1,1,0,2,high cost
